lemma,aspect,nonpast,past,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
раздаться,pf,4,233,0,0,0,0,0,0,0,237
раздеваться,ipf,11,5,18,13,15,0,0,0,0,62
разделить,pf,19,26,54,3,3,1,0,38,0,144
разделять,ipf,38,28,9,2,5,4,17,0,1,104
раздеться,pf,2,28,23,2,6,0,0,0,0,61
раздражать,ipf,35,89,10,0,0,5,1,0,0,140
различать,ipf,27,25,31,0,2,0,3,0,1,89
разложить,pf,13,27,8,5,4,0,0,21,0,78
размахивать,ipf,9,20,7,0,35,0,4,0,0,75
разместить,pf,10,12,28,0,2,0,0,26,0,78
размещаться,ipf,12,44,1,0,0,0,0,0,0,57
разобрать,pf,44,44,35,8,1,1,0,15,0,148
разобраться,pf,68,47,138,24,8,0,0,0,0,285
разойтись,pf,15,126,12,1,1,1,0,0,0,156
разорвать,pf,7,34,14,0,3,0,0,27,0,85
разочаровать,pf,11,11,8,0,0,0,0,27,0,57
разрабатывать,ipf,19,12,18,0,4,0,3,0,18,74
разработать,pf,46,47,48,1,1,5,0,140,0,288
разрешать,ipf,39,41,18,1,9,0,8,0,3,119
разрешить,pf,40,110,45,96,4,1,0,49,0,345
разрушать,ipf,28,11,9,1,4,0,4,0,0,57
разрушить,pf,15,38,28,0,1,1,0,90,0,173
разыскать,pf,6,32,34,1,5,0,0,1,0,79
раскалить,pf,1,1,1,0,0,1,0,73,0,77
раскрывать,ipf,20,11,7,2,8,0,2,0,4,54
раскрываться,ipf,32,10,8,0,1,0,0,0,0,51
раскрыть,pf,19,91,37,2,14,0,0,63,0,226
распахнуть,pf,14,52,7,1,8,0,0,60,0,142
расписаться,pf,6,27,21,9,0,0,0,0,0,63
располагать,ipf,59,30,9,1,10,0,11,0,0,120
располагаться,ipf,40,65,10,6,1,0,0,0,0,122
расположить,pf,14,4,11,0,0,0,0,274,0,303
расположиться,pf,2,48,2,0,4,0,0,0,0,56
распорядиться,pf,7,40,16,1,0,0,0,0,0,64
распространить,pf,7,13,10,0,2,0,0,164,0,196
распространяться,ipf,64,23,12,0,1,0,0,0,0,100
распустить,pf,7,24,8,0,7,2,0,25,0,73
рассердиться,pf,3,97,0,0,7,0,0,0,0,107
рассказать,pf,194,588,259,94,7,5,0,20,0,1167
рассказывать,ipf,304,642,221,56,43,3,8,0,1,1278
рассматривать,ipf,98,87,100,2,33,2,5,0,81,408
рассмотреть,pf,42,31,56,60,12,0,0,62,0,263
расспрашивать,ipf,10,51,42,1,0,0,0,0,0,104
расставаться,ipf,29,19,43,0,7,0,0,0,0,98
расставить,pf,9,22,6,0,16,1,0,21,0,75
расстаться,pf,19,63,46,2,1,0,0,0,0,131
расстегнуть,pf,7,27,10,0,7,0,0,29,0,80
расстреливать,ipf,16,22,21,0,2,0,0,0,2,63
расстрелять,pf,51,78,14,0,0,1,0,38,0,182
расстроить,pf,5,12,5,0,0,0,0,31,0,53
расстроиться,pf,3,47,2,0,0,0,0,0,0,52
рассчитать,pf,21,18,13,7,4,1,0,93,0,157
рассчитывать,ipf,78,77,74,6,15,0,1,0,0,251
растаять,pf,22,40,2,0,1,7,0,0,0,72
растеряться,pf,2,122,3,0,6,0,0,0,0,133
расти,ipf,275,227,59,6,0,4,69,0,0,640
расходиться,ipf,46,34,9,2,7,0,0,0,0,98
расширить,pf,16,20,41,0,1,0,0,41,0,119
расширять,ipf,15,9,15,1,9,0,2,0,3,54
расширяться,ipf,32,19,7,0,3,0,0,0,0,61
рвать,ipf,29,29,13,4,0,1,7,0,0,83
рваться,ipf,45,50,7,0,0,0,0,0,0,102
реагировать,ipf,46,41,25,0,1,0,6,0,0,119
реализовать,ipf,19,0,6,0,4,0,19,31,16,95
реализовать,pf,24,8,38,0,1,1,0,31,0,103
регулировать,ipf,16,6,21,0,3,0,27,0,7,80
резать,ipf,44,37,27,10,0,1,6,0,0,125
рекомендовать,ipf,48,27,8,0,1,0,0,9,8,101
рекомендоваться,ipf,65,4,0,0,1,0,0,0,0,70
репетировать,ipf,10,30,11,0,3,0,0,0,0,54
решать,ipf,122,49,129,13,10,1,22,0,20,366
решаться,ipf,94,65,11,1,8,0,0,0,0,179
решить,pf,137,1278,160,3,55,22,0,115,0,1770
решиться,pf,22,134,20,0,4,0,0,0,0,180
рисовать,ipf,45,75,43,2,4,1,0,5,2,177
родить,pf,16,77,16,1,3,3,0,59,0,175
родиться,pf,16,389,23,8,3,3,0,0,0,442
рожать,ipf,10,13,28,1,0,3,1,0,0,56
рождаться,ipf,73,44,2,0,1,0,0,0,0,120
рубить,ipf,34,19,25,4,1,2,1,5,0,91
ругать,ipf,35,71,38,5,9,0,1,0,0,159
ругаться,ipf,36,83,29,5,11,0,0,0,0,164
рушиться,ipf,30,18,1,0,1,0,0,0,0,50
рыть,ipf,21,16,16,0,1,2,0,0,0,56
садиться,ipf,135,114,33,169,19,0,0,0,0,470
сажать,ipf,50,48,36,4,3,0,0,0,0,141
сбежать,pf,12,103,19,3,2,15,0,0,0,154
сбить,pf,16,53,23,1,5,2,0,38,0,138
сбрасывать,ipf,11,22,12,2,11,0,0,0,1,59
сбросить,pf,21,61,27,2,6,1,0,5,0,123
свалить,pf,10,25,14,1,4,1,0,12,0,67
свалиться,pf,15,81,10,0,2,0,0,0,0,108
сварить,pf,10,22,13,0,0,0,0,21,0,66
свернуть,pf,7,98,25,2,5,1,0,13,0,151
свести,pf,18,48,44,1,1,1,0,13,0,126
светить,ipf,57,50,5,5,1,0,1,0,0,119
свидетельствовать,ipf,150,21,10,0,2,2,27,0,0,212
свисать,ipf,4,27,0,0,0,3,18,0,0,52
свистеть,ipf,17,33,9,1,3,2,1,0,0,66
сводить,ipf,32,45,13,1,21,6,7,0,2,127
сводиться,ipf,44,30,2,0,0,0,0,0,0,76
связать,pf,53,35,35,2,1,3,0,692,0,821
связаться,pf,1,34,15,8,0,0,0,0,0,58
связывать,ipf,55,50,19,4,3,1,19,0,1,152
связываться,ipf,15,28,27,3,0,0,0,0,0,73
сгореть,pf,14,70,5,0,0,15,0,0,0,104
сдавать,ipf,31,35,39,5,2,1,2,0,2,117
сдаваться,ipf,38,16,13,1,0,0,1,0,0,69
сдать,pf,43,94,45,6,6,3,0,18,0,215
сдаться,pf,5,45,11,1,2,0,0,0,0,64
сдвинуть,pf,13,25,19,1,4,1,0,22,0,85
сделать,pf,471,1221,972,79,55,25,0,322,0,3145
сделаться,pf,23,185,10,0,5,0,0,0,0,223
сдерживать,ipf,17,12,11,0,17,0,8,0,9,74
сердиться,ipf,43,68,17,28,12,0,0,0,0,168
сесть,pf,99,843,101,49,9,5,0,0,0,1106
сжать,pf,4,69,10,0,8,3,0,20,0,114
сжечь,pf,17,38,19,2,1,0,0,26,0,103
сжимать,ipf,19,27,2,1,16,3,3,0,0,71
сказаться,pf,25,34,11,0,0,0,0,0,0,70
сказываться,ipf,46,18,1,0,0,0,0,0,0,65
скинуть,pf,6,32,8,1,6,1,0,1,0,55
складывать,ipf,18,32,10,3,1,0,1,0,0,65
складываться,ipf,72,74,7,0,0,1,0,0,0,154
склонить,pf,3,12,4,1,26,1,0,19,0,66
склониться,pf,1,35,3,1,18,0,0,0,0,58
скрывать,ipf,67,66,62,2,22,4,5,0,7,235
скрываться,ipf,37,31,9,0,9,0,0,0,0,86
скрыть,pf,35,27,61,0,2,0,0,38,0,163
скрыться,pf,3,108,17,0,0,0,0,0,0,128
следить,ipf,105,150,77,11,20,4,4,0,0,371
следовать,ipf,877,268,47,7,35,4,120,0,0,1358
сливаться,ipf,24,27,2,0,4,0,0,0,0,57
сложить,pf,18,76,19,2,23,0,0,90,0,228
сложиться,pf,23,156,8,1,2,1,0,0,0,191
сломать,pf,17,67,27,1,3,1,0,47,0,163
служить,ipf,221,223,141,5,4,29,16,0,0,639
случаться,ipf,104,145,2,0,0,0,0,0,0,251
случиться,pf,80,653,65,17,1,0,0,0,0,816
слушать,ipf,278,476,241,389,112,10,5,0,0,1511
слушаться,ipf,32,32,7,2,0,0,0,0,0,73
слыхать,ipf,2,78,6,0,0,1,0,3,0,90
слышать,ipf,502,768,151,15,36,12,0,14,0,1498
слышаться,ipf,28,107,1,0,0,0,0,0,0,136
сменить,pf,9,36,39,5,8,11,0,3,0,111
смениться,pf,4,48,2,0,1,0,0,0,0,55
сметь,ipf,48,55,8,31,7,3,0,0,0,152
смешать,pf,4,16,21,3,2,2,0,28,0,76
смешаться,pf,1,47,2,0,2,0,0,0,0,52
смеяться,ipf,312,269,74,16,56,0,0,0,0,727
смириться,pf,5,21,28,5,3,0,0,0,0,62
смолкнуть,pf,1,52,0,1,0,1,0,0,0,55
смотреть,ipf,985,1428,490,704,52,10,5,0,0,3674
смотреться,ipf,39,31,3,0,0,0,0,0,0,73
смутить,pf,10,18,1,0,0,3,0,24,0,56
смутиться,pf,1,62,2,0,5,0,0,0,0,70
смущать,ipf,31,40,6,0,1,2,0,0,1,81
снести,pf,16,39,10,1,1,0,0,8,0,75
снижать,ipf,35,6,15,0,4,0,6,0,0,66
снижаться,ipf,38,9,10,0,1,0,0,0,0,58
снизить,pf,17,6,35,0,4,1,0,17,0,80
снизиться,pf,13,47,1,0,0,0,0,0,0,61
снимать,ipf,140,148,108,19,39,4,14,0,2,474
сниматься,ipf,35,39,12,0,1,0,1,0,0,88
сниться,ipf,30,75,6,0,0,0,0,0,0,111
снять,pf,86,426,166,33,32,4,0,83,0,830
собирать,ipf,119,155,119,12,27,5,24,0,3,464
собираться,ipf,388,395,35,17,39,0,0,0,0,874
соблюдать,ipf,17,17,51,5,10,0,2,0,0,102
собрать,pf,49,193,99,8,22,9,0,125,0,505
собраться,pf,48,294,24,2,13,0,0,0,0,381
совершать,ipf,59,50,36,2,18,2,12,0,11,190
совершаться,ipf,44,37,2,0,0,0,0,0,0,83
совершить,pf,50,124,75,3,11,9,0,50,0,322
советовать,ipf,73,50,10,1,1,0,1,0,0,136
совпадать,ipf,79,30,7,0,1,0,12,0,0,129
согласиться,pf,70,410,74,52,6,0,0,0,0,612
соглашаться,ipf,49,81,18,8,7,0,0,0,0,163
соединить,pf,8,31,37,3,6,5,0,131,0,221
соединиться,pf,9,31,12,0,7,0,0,0,0,59
соединять,ipf,22,13,4,2,11,3,25,0,2,82
создавать,ipf,246,66,103,1,44,1,25,0,3,489
создаваться,ipf,100,64,7,0,0,0,0,0,0,171
создать,pf,133,203,243,2,12,26,0,352,0,971
сознавать,ipf,16,27,13,0,17,1,5,0,0,79
сознаться,pf,4,28,17,4,0,0,0,0,0,53
созреть,pf,6,35,5,0,1,13,0,0,0,60
сойти,pf,46,191,43,5,5,11,0,0,0,301
сойтись,pf,13,85,5,0,5,0,0,0,0,108
сократить,pf,10,16,47,0,4,0,0,19,0,96
сократиться,pf,12,43,3,0,0,0,0,0,0,58
соображать,ipf,27,40,23,2,27,0,3,0,0,122
сообразить,pf,16,103,37,0,13,1,0,0,0,170
сообщать,ipf,118,66,23,3,12,2,4,0,1,229
сообщить,pf,34,412,96,8,8,1,0,10,0,569
сопровождать,ipf,18,61,17,0,6,14,22,0,14,152
сорвать,pf,8,59,28,0,4,0,0,22,0,121
сорваться,pf,13,77,13,1,3,0,0,0,0,107
сосать,ipf,24,15,10,1,0,1,4,0,0,55
сосредоточить,pf,10,5,10,0,3,0,0,43,0,71
сосредоточиться,pf,3,20,34,4,2,0,0,0,0,63
составить,pf,86,168,63,4,4,8,0,80,0,413
составлять,ipf,423,171,38,2,5,11,109,0,2,761
сотворить,pf,9,25,13,1,0,2,0,22,0,72
сохранить,pf,34,88,157,10,7,15,0,29,0,340
сохраниться,pf,18,212,7,0,1,0,0,0,0,238
сохранять,ipf,65,21,34,1,27,4,4,0,2,158
сохраняться,ipf,63,33,3,0,1,0,0,0,0,100
сочинить,pf,9,30,17,1,1,1,0,21,0,80
сочинять,ipf,24,54,24,0,5,1,0,0,2,110
спасать,ipf,39,42,50,3,14,0,4,0,1,153
спасаться,ipf,15,12,11,4,10,0,0,0,0,52
спасти,pf,62,107,142,29,0,7,0,26,0,373
спеть,pf,30,74,64,6,0,0,0,7,0,181
спешить,ipf,101,85,45,18,44,2,12,0,0,307
спорить,ipf,79,87,88,5,5,3,7,0,0,274
способствовать,ipf,98,65,29,0,3,4,15,0,0,214
спохватиться,pf,2,59,0,1,1,0,0,0,0,63
справиться,pf,50,39,66,1,7,0,0,0,0,163
справляться,ipf,30,33,7,1,0,0,0,0,0,71
спрашивать,ipf,702,425,116,37,25,1,5,0,0,1311
спрашиваться,ipf,54,0,2,0,0,0,0,0,0,56
спросить,pf,188,3519,232,62,10,3,0,2,0,4016
спрыгнуть,pf,4,54,7,1,3,0,0,0,0,69
спрятать,pf,13,100,35,9,7,0,0,38,0,202
спрятаться,pf,11,50,30,1,4,0,0,0,0,96
спускаться,ipf,47,70,32,3,14,0,0,0,0,166
спустить,pf,12,40,8,4,3,1,0,18,0,86
спуститься,pf,13,143,27,4,4,0,0,0,0,191
спутать,pf,9,20,12,0,0,0,0,17,0,58
сравнивать,ipf,27,20,44,1,4,1,2,0,5,104
сравнить,pf,6,25,53,45,5,0,0,1,0,135
срывать,ipf,10,24,7,2,4,2,1,0,1,51
ссориться,ipf,34,47,16,1,0,0,0,0,0,98
ссылаться,ipf,26,22,7,1,25,0,0,0,0,81
ставить,ipf,202,188,126,24,20,4,7,0,0,571
сталкиваться,ipf,50,30,17,0,9,0,0,0,0,106
становиться,ipf,632,489,23,7,21,0,0,0,0,1172
стараться,ipf,246,397,33,23,177,0,0,0,0,876
стареть,ipf,26,4,5,2,2,1,18,0,0,58
стать,pf,730,6389,580,23,54,153,0,0,0,7929
стащить,pf,7,30,6,2,2,0,0,3,0,50
стемнеть,pf,8,44,0,0,0,0,0,0,0,52
стереть,pf,10,17,21,0,1,1,0,10,0,60
стесняться,ipf,35,48,7,14,35,0,0,0,0,139
стирать,ipf,20,34,31,2,6,1,1,2,0,97
столкнуться,pf,8,74,13,1,10,0,0,0,0,106
стоять,ipf,993,2308,175,120,115,134,101,0,0,3946
страдать,ipf,92,97,24,0,10,8,46,0,0,277
стричь,ipf,10,9,9,0,0,0,0,29,0,57
строить,ipf,98,115,117,16,6,5,3,4,0,364
строиться,ipf,75,48,14,1,0,0,0,0,0,138
ступать,ipf,8,18,11,12,25,1,2,0,0,77
стучать,ipf,62,98,31,4,30,1,3,0,0,229
стыдиться,ipf,18,31,12,1,18,0,0,0,0,80
сформировать,pf,10,12,27,1,2,1,0,40,0,93
сформулировать,pf,20,24,28,2,1,1,0,37,0,113
схватить,pf,27,248,39,1,15,0,0,21,0,351
схватиться,pf,3,65,4,0,6,0,0,0,0,78
сходить,ipf,48,38,7,6,9,6,4,0,0,118
сходить,pf,31,30,54,40,0,0,0,0,0,155
сходиться,ipf,38,36,2,0,1,0,0,0,0,77
счесть,pf,28,62,13,4,0,0,0,0,0,107
считать,ipf,954,575,336,51,103,13,23,19,0,2074
считаться,ipf,238,217,62,0,8,0,0,0,0,525
сшить,pf,16,22,22,0,1,0,0,34,0,95
съесть,pf,56,127,58,6,0,3,0,18,0,268
сыграть,pf,44,157,100,18,8,6,0,11,0,344
танцевать,ipf,78,97,60,4,6,3,26,0,0,274
таскать,ipf,31,74,27,1,3,0,1,0,0,137
тащить,ipf,46,77,46,27,5,1,0,0,0,202
таять,ipf,25,31,8,0,2,1,9,0,0,76
твердить,ipf,14,67,5,0,2,1,1,0,0,90
творить,ipf,44,22,26,0,1,3,8,0,3,107
темнеть,ipf,17,49,8,0,0,3,2,0,0,79
терзать,ipf,8,23,10,1,2,2,2,0,3,51
терпеть,ipf,66,64,119,8,4,2,4,0,0,267
терять,ipf,149,91,70,7,41,1,8,0,0,367
теряться,ipf,32,38,1,3,2,0,0,0,0,76
тонуть,ipf,32,22,12,1,0,0,7,0,0,74
топить,ipf,20,41,17,3,0,1,0,2,0,84
торговать,ipf,39,33,27,1,1,1,12,0,1,115
торопиться,ipf,60,83,39,20,71,0,1,0,0,274
тратить,ipf,43,33,62,4,4,0,0,4,0,150
требовать,ipf,365,249,57,5,32,11,78,0,39,836
требоваться,ipf,213,99,0,0,0,0,0,0,0,312
тревожить,ipf,32,46,20,1,2,3,5,0,0,109
трясти,ipf,23,62,15,4,11,0,2,0,0,117
тянуть,ipf,173,163,43,21,1,1,2,0,0,404
тянуться,ipf,65,147,11,0,0,0,0,0,0,223
убегать,ipf,16,34,7,2,5,3,8,0,0,75
убедить,pf,19,37,61,1,1,0,0,63,0,182
убедиться,pf,18,115,66,5,30,0,0,0,0,234
убежать,pf,17,89,22,1,0,4,0,0,0,133
убеждать,ipf,23,49,17,0,7,1,3,0,0,100
убивать,ipf,80,52,46,6,1,0,5,0,0,190
убирать,ipf,24,37,32,4,8,1,1,0,1,108
убить,pf,135,239,116,25,6,16,0,96,0,633
убрать,pf,14,58,59,24,5,0,0,25,0,185
увезти,pf,22,89,27,0,0,0,0,8,0,146
увеличивать,ipf,27,5,18,1,11,0,2,0,0,64
увеличиваться,ipf,73,28,4,0,1,0,0,0,0,106
увеличить,pf,25,16,71,1,5,0,0,27,0,145
увеличиться,pf,40,74,4,0,1,0,0,0,0,119
уверить,pf,39,11,5,0,0,1,0,110,0,166
уверять,ipf,43,50,2,0,5,1,1,0,0,102
увести,pf,11,62,12,2,0,0,0,1,0,88
увидеть,pf,378,1389,303,3,210,9,0,34,0,2326
увидеться,pf,39,5,14,1,0,0,0,0,0,59
увлекаться,ipf,19,35,5,2,4,0,0,0,0,65
увлечь,pf,10,11,11,0,0,0,0,25,0,57
увлечься,pf,2,40,7,0,12,0,0,0,0,61
уводить,ipf,24,32,9,1,0,2,3,0,1,72
уволить,pf,16,29,15,9,0,0,0,17,0,86
угадать,pf,17,36,33,5,6,4,0,6,0,107
угадывать,ipf,13,30,2,1,9,0,0,0,3,58
уговаривать,ipf,18,54,13,0,8,0,2,0,1,96
уговорить,pf,9,51,23,1,1,0,0,2,0,87
угодить,pf,8,53,28,0,0,0,0,0,0,89
угостить,pf,19,26,13,2,0,1,0,1,0,62
угощать,ipf,22,56,11,0,4,0,1,0,0,94
удаваться,ipf,134,136,0,0,0,0,0,0,0,270
удалить,pf,4,3,28,2,2,0,0,21,0,60
удалиться,pf,0,58,2,0,1,0,0,0,0,61
удалять,ipf,41,4,12,1,5,0,2,0,1,66
удаляться,ipf,28,26,4,0,10,0,0,0,0,68
ударить,pf,41,275,42,2,8,6,0,2,0,376
удаться,pf,137,616,1,0,0,0,0,0,0,754
удержать,pf,16,30,50,1,3,1,0,2,0,103
удержаться,pf,10,61,41,0,5,0,0,0,0,117
удерживать,ipf,17,19,12,3,14,0,8,0,2,75
удивить,pf,32,84,20,1,3,3,0,36,0,179
удивиться,pf,15,434,7,0,4,0,0,0,0,460
удивлять,ipf,32,37,13,0,1,0,0,0,0,83
удивляться,ipf,82,106,59,14,26,0,0,0,0,287
удовлетворить,pf,17,20,34,0,1,0,0,31,0,103
удовлетворять,ipf,25,19,15,0,1,1,7,0,0,68
уезжать,ipf,101,95,48,12,20,2,2,0,0,280
уехать,pf,91,441,133,2,5,12,0,0,0,684
ужинать,ipf,7,26,35,0,0,0,0,0,0,68
узнавать,ipf,131,113,47,2,10,0,2,0,0,305
узнать,pf,229,691,320,14,111,5,0,6,0,1376
уйти,pf,205,1067,217,20,15,67,0,0,0,1591
указать,pf,36,107,35,12,18,2,0,151,0,361
указывать,ipf,91,40,19,0,31,1,8,0,1,191
укладывать,ipf,19,22,12,0,6,0,0,0,0,59
украсить,pf,22,21,21,2,2,1,0,62,0,131
украсть,pf,19,103,31,2,1,3,0,33,0,192
украшать,ipf,36,41,8,0,2,2,5,0,1,95
укрепить,pf,11,17,29,0,2,1,0,32,0,92
укреплять,ipf,27,9,15,0,4,0,2,0,0,57
улететь,pf,16,52,13,2,0,3,0,0,0,86
уловить,pf,6,31,25,0,5,0,0,3,0,70
уложить,pf,13,40,31,2,3,0,0,21,0,110
улыбаться,ipf,168,290,48,5,196,0,1,0,0,708
улыбнуться,pf,12,614,21,3,17,0,0,0,0,667
уменьшаться,ipf,44,13,6,0,3,0,0,0,0,66
уменьшить,pf,7,6,28,1,2,0,0,16,0,60
уменьшиться,pf,27,39,1,1,0,0,0,0,0,68
умереть,pf,158,623,120,14,1,43,0,0,0,959
умирать,ipf,138,82,62,3,9,4,24,0,0,322
умолкнуть,pf,1,48,2,0,1,2,0,0,0,54
умолять,ipf,35,34,5,0,4,0,2,0,0,80
унести,pf,11,68,10,2,2,2,0,4,0,99
уничтожать,ipf,34,22,30,0,4,0,11,0,2,103
уничтожить,pf,41,36,78,1,1,2,0,20,0,179
уносить,ipf,25,25,3,2,12,2,0,0,1,70
упасть,pf,65,387,52,5,11,28,0,0,0,548
упереться,pf,4,62,5,1,9,0,0,0,0,81
упираться,ipf,19,32,5,1,17,0,0,0,0,74
упоминать,ipf,12,42,7,0,2,0,0,0,7,70
упомянуть,pf,9,35,32,2,5,0,0,86,0,169
употреблять,ipf,34,22,16,0,3,1,3,0,12,91
упрекать,ipf,10,28,12,1,1,1,2,0,0,55
упустить,pf,18,32,26,0,0,1,0,31,0,108
уронить,pf,4,46,6,1,7,1,0,3,0,68
усадить,pf,5,46,5,2,3,1,0,3,0,65
усвоить,pf,3,28,15,2,3,3,0,5,0,59
усесться,pf,2,82,3,0,7,0,0,0,0,94
усилить,pf,9,15,35,0,2,0,0,9,0,70
услышать,pf,79,456,104,0,84,2,0,22,0,747
усмехаться,ipf,35,22,1,0,22,0,0,0,0,80
усмехнуться,pf,5,337,3,0,10,0,0,0,0,355
успевать,ipf,68,58,1,5,7,2,1,0,0,142
успеть,pf,120,659,60,0,27,34,0,0,0,900
успокаивать,ipf,24,43,13,0,2,0,13,0,0,95
успокоить,pf,10,82,34,8,2,0,0,16,0,152
успокоиться,pf,17,113,34,37,10,0,0,0,0,211
уставать,ipf,29,25,1,0,2,0,2,0,0,59
уставиться,pf,4,94,0,0,9,0,0,0,0,107
устанавливать,ipf,69,14,37,1,3,0,4,0,15,143
устанавливаться,ipf,91,13,5,0,0,0,0,0,0,109
установить,pf,78,101,119,7,15,2,0,301,0,623
устать,pf,8,219,4,0,16,33,0,0,0,280
устраивать,ipf,94,97,37,4,13,1,1,0,0,247
устраиваться,ipf,18,20,4,8,9,0,0,0,0,59
устранить,pf,9,3,31,0,1,0,0,9,0,53
устроить,pf,77,198,86,6,3,3,0,88,0,461
устроиться,pf,11,75,37,0,4,0,0,0,0,127
уступать,ipf,45,17,11,2,27,1,7,0,0,110
уступить,pf,19,49,26,3,10,3,0,0,0,110
утвердить,pf,22,43,17,2,1,2,0,81,0,168
утверждать,ipf,162,90,70,0,13,4,5,0,0,344
утешать,ipf,15,38,13,0,11,0,2,0,0,79
утонуть,pf,17,36,9,0,1,7,0,0,0,70
уточнить,pf,9,44,31,2,5,0,0,5,0,96
утратить,pf,10,42,4,0,5,14,0,60,0,135
ухватить,pf,2,26,17,0,6,1,0,0,0,52
уходить,ipf,337,299,119,53,44,7,48,0,0,907
учесть,pf,21,33,80,34,1,0,0,20,0,189
учитывать,ipf,34,11,91,0,95,0,11,0,10,252
учить,ipf,121,190,105,17,0,2,0,0,0,435
учиться,ipf,157,270,212,33,19,0,0,0,0,691
учредить,pf,9,18,7,0,2,1,0,17,0,54
формировать,ipf,47,11,23,0,3,0,13,0,12,109
формироваться,ipf,68,14,6,0,0,0,0,0,0,88
характеризовать,ipf,36,3,3,0,1,0,34,0,6,83
хвалить,ipf,32,48,7,0,2,0,0,0,0,89
хватать,ipf,314,286,10,12,13,1,1,0,0,637
хвататься,ipf,19,27,6,1,8,0,0,0,0,61
хватить,pf,345,152,9,1,0,2,0,0,0,509
хлопотать,ipf,17,33,11,1,0,2,0,0,0,64
ходить,ipf,497,808,350,35,5,21,6,1,0,1723
хоронить,ipf,25,28,22,0,2,2,0,0,0,79
хранить,ipf,56,60,53,7,5,4,9,0,7,201
храниться,ipf,48,44,6,0,0,0,0,0,0,98
хрипеть,ipf,34,28,1,0,3,1,1,0,0,68
целовать,ipf,55,72,43,6,18,3,1,0,0,198
целоваться,ipf,16,28,26,0,1,0,0,0,0,71
ценить,ipf,54,61,20,1,1,2,2,0,3,144
цитировать,ipf,35,15,10,0,5,0,1,6,6,78
чистить,ipf,20,31,39,4,0,1,4,2,0,101
читать,ipf,383,657,374,109,70,15,21,11,2,1642
чувствовать,ipf,452,612,96,2,157,2,12,0,1,1334
чувствоваться,ipf,33,61,0,0,0,0,0,0,0,94
чуять,ipf,30,22,0,0,9,1,0,0,0,62
шевелить,ipf,6,32,4,1,13,0,1,0,0,57
шевелиться,ipf,19,63,10,3,9,0,0,0,0,104
шептать,ipf,55,91,7,1,4,1,2,0,0,161
шить,ipf,41,32,30,1,0,0,0,10,0,114
шутить,ipf,92,54,38,4,6,1,0,0,0,195
явиться,pf,18,265,33,3,1,0,0,0,0,320
являться,ipf,1680,102,27,1,26,0,0,0,0,1836
